... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  368.412878035
Pre-training layer 0, epoch 1, cost  51.429472939
Pre-training layer 0, epoch 2, cost  -3.98062934721
Pre-training layer 0, epoch 3, cost  -20.922814037
Pre-training layer 0, epoch 4, cost  -66.0152802482
Pre-training layer 0, epoch 5, cost  -94.1793628049
Pre-training layer 0, epoch 6, cost  -133.810018334
Pre-training layer 0, epoch 7, cost  -194.847522337
Pre-training layer 0, epoch 8, cost  -227.013821282
Pre-training layer 0, epoch 9, cost  -290.221193528
Pre-training layer 0, epoch 10, cost  -343.779961899
Pre-training layer 0, epoch 11, cost  -363.991142923
Pre-training layer 0, epoch 12, cost  -371.802897214
Pre-training layer 0, epoch 13, cost  -278.521592885
Pre-training layer 0, epoch 14, cost  -402.331893611
Pre-training layer 1, epoch 0, cost  -54963.1842281
Pre-training layer 1, epoch 1, cost  -189440.456146
Pre-training layer 1, epoch 2, cost  -329505.952962
Pre-training layer 1, epoch 3, cost  -471198.246072
Pre-training layer 1, epoch 4, cost  -613374.430197
Pre-training layer 1, epoch 5, cost  -755711.286672
Pre-training layer 1, epoch 6, cost  -898008.946905
Pre-training layer 1, epoch 7, cost  -1040615.78509
Pre-training layer 1, epoch 8, cost  -1182137.61019
Pre-training layer 1, epoch 9, cost  -1325184.09698
Pre-training layer 1, epoch 10, cost  -1464082.58361
Pre-training layer 1, epoch 11, cost  -1607680.81125
Pre-training layer 1, epoch 12, cost  -1750227.70613
Pre-training layer 1, epoch 13, cost  -1877066.90635
Pre-training layer 1, epoch 14, cost  -2030106.97232
Pre-training layer 2, epoch 0, cost  -10353.7070224
Pre-training layer 2, epoch 1, cost  -44487.9417195
Pre-training layer 2, epoch 2, cost  -82273.3656552
Pre-training layer 2, epoch 3, cost  -118907.606513
Pre-training layer 2, epoch 4, cost  -156596.530179
Pre-training layer 2, epoch 5, cost  -194103.087577
Pre-training layer 2, epoch 6, cost  -230934.058002
Pre-training layer 2, epoch 7, cost  -268305.848534
Pre-training layer 2, epoch 8, cost  -305735.512692
Pre-training layer 2, epoch 9, cost  -341585.400624
Pre-training layer 2, epoch 10, cost  -376711.661613
Pre-training layer 2, epoch 11, cost  -413727.858786
Pre-training layer 2, epoch 12, cost  -450595.28319
Pre-training layer 2, epoch 13, cost  -489321.969176
Pre-training layer 2, epoch 14, cost  -519796.947374
... getting the finetuning functions
40
53
... finetuning the model
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
40
53
... finetuning the model
epoch 1, minibatch 300/300, validation error 18.867925 %
     epoch 1, minibatch 300/300, test error of best model 10.000000 %
epoch 2, minibatch 300/300, validation error 18.867925 %
epoch 3, minibatch 300/300, validation error 18.867925 %
epoch 4, minibatch 300/300, validation error 18.867925 %
epoch 5, minibatch 300/300, validation error 9.433962 %
     epoch 5, minibatch 300/300, test error of best model 10.000000 %
epoch 6, minibatch 300/300, validation error 7.547170 %
     epoch 6, minibatch 300/300, test error of best model 10.000000 %
epoch 7, minibatch 300/300, validation error 11.320755 %
epoch 8, minibatch 300/300, validation error 11.320755 %
epoch 9, minibatch 300/300, validation error 9.433962 %
epoch 10, minibatch 300/300, validation error 9.433962 %
epoch 11, minibatch 300/300, validation error 9.433962 %
epoch 12, minibatch 300/300, validation error 9.433962 %
epoch 13, minibatch 300/300, validation error 9.433962 %
epoch 14, minibatch 300/300, validation error 9.433962 %
epoch 15, minibatch 300/300, validation error 9.433962 %
epoch 16, minibatch 300/300, validation error 9.433962 %
epoch 17, minibatch 300/300, validation error 9.433962 %
epoch 18, minibatch 300/300, validation error 9.433962 %
epoch 19, minibatch 300/300, validation error 9.433962 %
epoch 20, minibatch 300/300, validation error 9.433962 %
epoch 21, minibatch 300/300, validation error 9.433962 %
epoch 22, minibatch 300/300, validation error 9.433962 %
epoch 23, minibatch 300/300, validation error 9.433962 %
epoch 24, minibatch 300/300, validation error 9.433962 %
epoch 25, minibatch 300/300, validation error 9.433962 %
epoch 26, minibatch 300/300, validation error 9.433962 %
epoch 27, minibatch 300/300, validation error 9.433962 %
epoch 28, minibatch 300/300, validation error 9.433962 %
epoch 29, minibatch 300/300, validation error 9.433962 %
epoch 30, minibatch 300/300, validation error 9.433962 %
epoch 31, minibatch 300/300, validation error 9.433962 %
epoch 32, minibatch 300/300, validation error 9.433962 %
epoch 33, minibatch 300/300, validation error 9.433962 %
epoch 34, minibatch 300/300, validation error 9.433962 %
epoch 35, minibatch 300/300, validation error 9.433962 %
epoch 36, minibatch 300/300, validation error 9.433962 %
epoch 37, minibatch 300/300, validation error 9.433962 %
epoch 38, minibatch 300/300, validation error 9.433962 %
epoch 39, minibatch 300/300, validation error 9.433962 %
epoch 40, minibatch 300/300, validation error 9.433962 %
epoch 41, minibatch 300/300, validation error 9.433962 %
epoch 42, minibatch 300/300, validation error 9.433962 %
epoch 43, minibatch 300/300, validation error 11.320755 %
epoch 44, minibatch 300/300, validation error 11.320755 %
epoch 45, minibatch 300/300, validation error 11.320755 %
